"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","FQ2IWe src","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Varej%C3%A3o+das+F%C3%A1bricas/data=!4m7!3m6!1s0x94c60db7e2e6efcb:0x9b726d9d30798c18!8m2!3d-23.1619739!4d-47.7442095!16s%2Fg%2F11h00b8431!19sChIJy-_m4rcNxpQRGIx5MJ1tcps?authuser=0&hl=pt-BR&rclk=1","VarejÃ£o das FÃ¡bricas","4,4","(41)","Loja de vestidos","Â·","î¤´","Â·","Av. Brasil, 33","Fechado","Â· Abre sex. Ã s 09:00","Â·","(19) 99804-3891","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zvs-amfDcm_jhb0rixuBzg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=278.41788&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lugar pra uma compra de look rÃ¡pida e bom atendimento"""
"https://www.google.com/maps/place/LUFEGA+-+Comercial+Lufega/data=!4m7!3m6!1s0x94c60cdcae27a365:0xf15f60057a1ce2af!8m2!3d-23.1652397!4d-47.7483193!16s%2Fg%2F11h06m1lq!19sChIJZaMnrtwMxpQRr-IcegVgX_E?authuser=0&hl=pt-BR&rclk=1","LUFEGA - Comercial Lufega","4,2","(58)","Loja de ferramentas","Â·","î¤´","Â·","R. Duque de Caxias, 242","Fechado","Â· Abre sex. Ã s 07:30","Â·","(15) 3384-7100","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHk__pBTO3xDGvtYAstHQp3Cgwckm67ZnT-3JeR3ViZOq0YTf1Kc0m5eY5I-ihBVSZDTXC4BQUR1EAGWkRhQc3U4F20tUZLbtoOsUFmAf1RWqcvWCi6aQgVaxEuu18CTnKyzYjc=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tudo em ferramentas parafusos, Ã³timos atendentes e bons preÃ§os."""
"https://www.google.com/maps/place/Emp%C3%B3rio+da+Economia/data=!4m7!3m6!1s0x94c60d3d4f96d6a1:0x368e30e28faa3f71!8m2!3d-23.1723184!4d-47.7415086!16s%2Fg%2F11v0gmgktk!19sChIJodaWTz0NxpQRcT-qj-IwjjY?authuser=0&hl=pt-BR&rclk=1","EmpÃ³rio da Economia","4,6","(81)","Supermercado de descontos","Â·","î¤´","Â·","Av. Pres. Washington LuÃ­z, 798","Fechado","Â· Abre sex. Ã s 09:00","Â·","(15) 99742-4328","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_eJv0bapQGQ_VcmwLp6l_zCnYu-iTYEsCnqdv-Unnt-SShtINwXACH9Yh-OO7vnOQQFA-uWr9I41CAvL5yF1FVabjC-YTmCFg9RGxkjMgvB8qWRcDAfQlS2KH4aGe5Cg8grcQ=w80-h118-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""PossuÃ­ estacionamento no local, com muitas vagas de fÃ¡cil acessibilidade."""
"https://www.google.com/maps/place/Max+Ferramentas+e+Utilidades/data=!4m7!3m6!1s0x94c60cd00db8fab7:0xff929b7d421ad0cb!8m2!3d-23.1670237!4d-47.7536425!16s%2Fg%2F1tkb66bj!19sChIJt_q4DdAMxpQRy9AaQn2bkv8?authuser=0&hl=pt-BR&rclk=1","Max Ferramentas e Utilidades","4,9","(48)","Loja de ferramentas","Â·","î¤´","Â·","Av. JoÃ£o Pilon, 653","Fechado","Â· Abre sex. Ã s 07:30","Â·","(15) 3384-5533","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGgpDy24XP1nPL0FU0OKspnJmJN3iaXhDw_7VOVllj7k1Ai-NXdw_JCrhmXILyKPACAA09iAi997mAI9J0UQc8kOt4jELlA8BvKAv4UxABKliNg-hUrv7EE6yQbTXM_ICrHDddtCw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excelente atendimento , variedades de opÃ§Ãµes  e bom preÃ§o ."""
"https://www.google.com/maps/place/Riverenza/data=!4m7!3m6!1s0x94c60ce79297d40b:0x6804d6496ef696e3!8m2!3d-23.164162!4d-47.7448211!16s%2Fg%2F11f3cghl1g!19sChIJC9SXkucMxpQR45b2bknWBGg?authuser=0&hl=pt-BR&rclk=1","Riverenza","4,9","(20)","Loja de Roupa","Â·","î¤´","Â·","R. Ãngelo Luvizotto, 146 - sala 2","Fechado","Â· Abre sex. Ã s 09:00","Â·","(15) 99607-6951","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSV_xh_4f_p7fFUp5Cleslh4yKIdDWOoIf-jzLVA4e9wMzIcSK8zsn2ncS9oCNPXNmgYJWT-RDf8RWfqWSgHgCSdWnwWk13dgqtrIG4UgeAwfhLmI85xG2qad9XP1Jc8cRnhTQ-g=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""VocÃªs sÃ£o referÃªncia na qualidade do produto e no atendimento!"""
"https://www.google.com/maps/place/GG+Tecidos/data=!4m7!3m6!1s0x94c60cc2e16dbe3d:0xed46a6d4f51cdc5a!8m2!3d-23.1671623!4d-47.7469899!16s%2Fg%2F11b6qygd5x!19sChIJPb5t4cIMxpQRWtwc9dSmRu0?authuser=0&hl=pt-BR&rclk=1","GG Tecidos","4,7","(42)","Loja de tecidos","Â·","","Rua AntÃ´nio Costa Magueta","Â·","Fechado","Â· Abre sex. Ã s 08:30","","(15) 3384-3597","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z6om3JpLhFVGmofV6-0lkg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=218.02037&pitch=0&thumbfov=100","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bastante itens relacionados a tecidos"""
"https://www.google.com/maps/place/Vivenda+do+Trigo/data=!4m7!3m6!1s0x94c60cd7ba3f28c3:0x658b80b6231c38ed!8m2!3d-23.1673488!4d-47.7487175!16s%2Fg%2F11g_hsjp9!19sChIJwyg_utcMxpQR7TgcI7aAi2U?authuser=0&hl=pt-BR&rclk=1","Vivenda do Trigo","4,5","(2.075)","Padaria","Â·","î¤´","Â·","Av. JoÃ£o Pilon, 143","Fechado","Â· Abre sex. Ã s 05:30","Â·","(15) 3384-3515","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPkpHE9-0qldePj55duXTcKOHOJVBmRkZAA0DQzq_oNmH4pRDnFTF22yvx4O28OY70llRk1Q8GT4wAgx6jc8J0H4QPr8ZIUc8VYfG-KSNivsecvZ02NJhq_DA4CEl15zlTYh6r=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ambiente interessante, tem uma boa variedade de salgados, doces, bolos."""
"https://www.google.com/maps/place/Vivenda+do+Trigo/data=!4m7!3m6!1s0x94c60cd7ba3f28c3:0x658b80b6231c38ed!8m2!3d-23.1673488!4d-47.7487175!16s%2Fg%2F11g_hsjp9!19sChIJwyg_utcMxpQR7TgcI7aAi2U?authuser=0&hl=pt-BR&rclk=1","Vivenda do Trigo","4,5","(2.075)","Padaria","Â·","î¤´","Â·","Av. JoÃ£o Pilon, 143","Fechado","Â· Abre sex. Ã s 05:30","Â·","(15) 3384-3515","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPkpHE9-0qldePj55duXTcKOHOJVBmRkZAA0DQzq_oNmH4pRDnFTF22yvx4O28OY70llRk1Q8GT4wAgx6jc8J0H4QPr8ZIUc8VYfG-KSNivsecvZ02NJhq_DA4CEl15zlTYh6r=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ambiente interessante, tem uma boa variedade de salgados, doces, bolos."""
"https://www.google.com/maps/place/Droga+Raia/data=!4m7!3m6!1s0x94c60cc33d550831:0x82b0e8043a4edc0a!8m2!3d-23.1669311!4d-47.7471323!16s%2Fg%2F11b6nv9zym!19sChIJMQhVPcMMxpQRCtxOOgTosII?authuser=0&hl=pt-BR&rclk=1","Droga Raia","4,5","(83)","FarmÃ¡cia","Â·","î¤´","Â·","Rua AntÃ´nio Costa Magueta, 376 - 360","Aberto","Â· Fecha 23:00","Â·","(15) 99654-2779","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhIKHyYNm1gwNFz2bPmybZpZ8hmiTnIRJ4tKUwDnwh6-D5r7ApqaLnFKimJ6ILhIVkjhZoZXQQhxaddI-W7M5V40vxSGDETIEe7yzvjYN2rUricVKH1TggScmyvqp0qqlJmQU=w180-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lugar acolhedor, preÃ§os competitivos, atendimento acolhedor"""
"https://www.google.com/maps/place/Pet+Walk+-+Cerquilho/data=!4m7!3m6!1s0x94c60d5086726719:0xbb651ab4c316b2c1!8m2!3d-23.1651452!4d-47.7484284!16s%2Fg%2F11h1fq4nmt!19sChIJGWdyhlANxpQRwbIWw7QaZbs?authuser=0&hl=pt-BR&rclk=1","Pet Walk - Cerquilho","5,0","(1)","Pet Shop","Â·","î¤´","Â·","Rua Augusto Dorighello, 0","Aberto 24 horas","","Â·","(15) 98119-3518","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsx7nzIxy0Gp4etdXJJINLDS0egY-4nNQFV7PrRDHFIY-WrwQCtJoW3T5gVaZnFas8G38YW0jqXXN9T3l53VAiJ0jYX7fKPwu-jin6bP8L9gtH3vIC5VgZpQbHfY9c2DBcn9iG=w80-h106-k-no","","Entrega"
"https://www.google.com/maps/place/Pura+Porcelana+Cerquilho/data=!4m7!3m6!1s0x94c60d48495b4675:0xb0831fc1453408fd!8m2!3d-23.1671776!4d-47.7472852!16s%2Fg%2F11mz9xftm9!19sChIJdUZbSUgNxpQR_Qg0RcEfg7A?authuser=0&hl=pt-BR&rclk=1","Pura Porcelana Cerquilho","","","Loja de porcelanas","Â·","","N/A","Â·","Fechado","Â· Abre sex. Ã s 09:00","","(11) 94275-1123","https://lh3.googleusercontent.com/gps-cs-s/APNQkAErZyn1m_qiIH2fO85Ohg-ZMLGZ3iROtuTfFZbDDumweUtMULjE2AN18C7v2mhJY4CSIo3ynLdSuBExFx5XQpllX9Uz-1SuR0SEAw2D2wd7e0euryptONwX6U514jEcK9IXGYPF0GgyaSw=w92-h92-k-no","",""
"https://www.google.com/maps/place/Drogaria+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94c60db72c8e3923:0x5cf2db27e349055!8m2!3d-23.1670079!4d-47.7482686!16s%2Fg%2F11svxlvbb_!19sChIJIzmOLLcNxpQRVZA0frItzwU?authuser=0&hl=pt-BR&rclk=1","Drogaria SÃ£o Paulo","3,9","(51)","Drogaria","Â·","î¤´","Â·","Av. JoÃ£o Pilon, 110","Aberto 24 horas","","Â·","(15) 3284-8078","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGBW1-y-2hbmtZ8Rikk1JfI9BgcoaMpW9BASCTPmG8rTec1wQwv0ksB9MiLP1wiM52t6VLedMm-po9xOYC6_0LcI6m5xyerRH0XAEQG66IFXZUHabEHNZXEsHQJ2iWwOCQ1xfYL=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excelente preÃ§o, drogaria completa e com diversas opÃ§Ãµes de produtos."""
"","","","","","","","","","","","","","","",""
